"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Негативный тест: создание файла с пустым значением директории.","259","Create file with empty directory","LMS service","Sun Jul 06 10:37:28 GMT 2025","passed","Sun Jul 06 10:37:28 GMT 2025","Validate entity","Files","",""
"
        Тест проверяет создание нового пользователя через эндпоинт /api/v1/users.

        Проверяет:
        - Статус-код ответа (200)
        - Корректность тела ответа
        - Валидацию JSON schema ответа
        ","537","Create user","LMS service","Sun Jul 06 10:37:29 GMT 2025","passed","Sun Jul 06 10:37:30 GMT 2025","Create entity","Users","",""
"Тест получения файла по ID через API.","15","Get file","LMS service","Sun Jul 06 10:37:27 GMT 2025","passed","Sun Jul 06 10:37:27 GMT 2025","Get entity","Files","",""
"
        Тест получения списка заданий через GET-запрос к /api/v1/exercises.

        Проверяет:
        - Статус-код ответа 200
        - Соответствие тела ответа списку созданных заданий
        - Валидацию JSON schema ответа
        ","16","Get exercises","LMS service","Sun Jul 06 10:37:26 GMT 2025","passed","Sun Jul 06 10:37:26 GMT 2025","Get entities","Exercises","",""
"Негативный тест: создание файла с пустым именем.","258","Create file with empty filename","LMS service","Sun Jul 06 10:37:27 GMT 2025","passed","Sun Jul 06 10:37:27 GMT 2025","Validate entity","Files","",""
"Тест создания файла через API.","20","Create file","LMS service","Sun Jul 06 10:37:26 GMT 2025","passed","Sun Jul 06 10:37:26 GMT 2025","Create entity","Files","",""
"
        Тест проверяет создание нового пользователя через эндпоинт /api/v1/users.

        Проверяет:
        - Статус-код ответа (200)
        - Корректность тела ответа
        - Валидацию JSON schema ответа
        ","525","Create user","LMS service","Sun Jul 06 10:37:29 GMT 2025","passed","Sun Jul 06 10:37:29 GMT 2025","Create entity","Users","",""
"
        Тест удаления задания через DELETE-запрос к /api/v1/exercises/{exercise_id}.

        Проверяет:
        - Статус-код 200 после удаления.
        - Статус-код 404 и соответствующее сообщение об ошибке после попытки получения удаленного задания.
        - Валидацию JSON schema ответа на GET-запрос после удаления.
        ","18","Delete exercise","LMS service","Sun Jul 06 10:37:25 GMT 2025","passed","Sun Jul 06 10:37:25 GMT 2025","Delete entity","Exercises","",""
"
        Тест проверяет создание нового пользователя через эндпоинт /api/v1/users.

        Проверяет:
        - Статус-код ответа (200)
        - Корректность тела ответа
        - Валидацию JSON schema ответа
        ","538","Create user","LMS service","Sun Jul 06 10:37:28 GMT 2025","passed","Sun Jul 06 10:37:29 GMT 2025","Create entity","Users","",""
"
        Тест проверяет получение данных текущего пользователя через эндпоинт /api/v1/users/me.

        Проверяет:
        - Статус-код ответа (200)
        - Корректность тела ответа
        - Валидацию JSON schema ответа
        ","12","Get user me","LMS service","Sun Jul 06 10:37:30 GMT 2025","passed","Sun Jul 06 10:37:30 GMT 2025","Get entity","Users","",""
