"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
        Тест для проверки обновления курса через API.

        Проверяет:
        - Успешное обновление курса через PATCH-запрос к /api/v1/courses/{course_id}
        - Соответствие статус-кода 200
        - Соответствие данных в ответе переданным данным запроса
        - Валидацию JSON-схемы ответа
        ","28","Update course","LMS service","Sun Jul 06 10:48:39 GMT 2025","passed","Sun Jul 06 10:48:39 GMT 2025","Update entity","Courses","",""
"Негативный тест: создание файла с пустым значением директории.","263","Create file with empty directory","LMS service","Sun Jul 06 10:48:45 GMT 2025","passed","Sun Jul 06 10:48:46 GMT 2025","Validate entity","Files","",""
"
        Тест получения списка заданий через GET-запрос к /api/v1/exercises.

        Проверяет:
        - Статус-код ответа 200
        - Соответствие тела ответа списку созданных заданий
        - Валидацию JSON schema ответа
        ","16","Get exercises","LMS service","Sun Jul 06 10:48:43 GMT 2025","passed","Sun Jul 06 10:48:43 GMT 2025","Get entities","Exercises","",""
"
        Тест получения задания через GET-запрос к /api/v1/exercises/{exercise_id}.

        Проверяет:
        - Успешное получение задания по ID
        - Соответствие статус-кода 200
        - Соответствие данных ответа созданному заданию
        - Валидацию JSON schema ответа
        ","13","Get exercise","LMS service","Sun Jul 06 10:48:42 GMT 2025","passed","Sun Jul 06 10:48:42 GMT 2025","Get entity","Exercises","",""
"
        Тест проверяет создание нового пользователя через эндпоинт /api/v1/users.

        Проверяет:
        - Статус-код ответа (200)
        - Корректность тела ответа
        - Валидацию JSON schema ответа
        ","286","Create user","LMS service","Sun Jul 06 10:48:47 GMT 2025","passed","Sun Jul 06 10:48:47 GMT 2025","Create entity","Users","",""
"Негативный тест: создание файла с пустым именем.","260","Create file with empty filename","LMS service","Sun Jul 06 10:48:45 GMT 2025","passed","Sun Jul 06 10:48:45 GMT 2025","Validate entity","Files","",""
"
        Тест проверяет получение данных текущего пользователя через эндпоинт /api/v1/users/me.

        Проверяет:
        - Статус-код ответа (200)
        - Корректность тела ответа
        - Валидацию JSON schema ответа
        ","11","Get user me","LMS service","Sun Jul 06 10:48:48 GMT 2025","passed","Sun Jul 06 10:48:48 GMT 2025","Get entity","Users","",""
"Тест удаления файла через API.","20","Delete file","LMS service","Sun Jul 06 10:48:47 GMT 2025","passed","Sun Jul 06 10:48:47 GMT 2025","Delete entity","Files","",""
"
        Тест проверяет авторизацию пользователя через эндпоинт /api/v1/auth/login.
        
        Проверяет:
        - Статус-код (200 OK)
        - Корректность данных авторизации
        - Валидацию JSON-схемы ответа
        ","554","Login with correct email and password","LMS service","Sun Jul 06 10:48:38 GMT 2025","passed","Sun Jul 06 10:48:39 GMT 2025","Login","Authentication","",""
"
        Тест обновления задания через PATCH-запрос к /api/v1/exercises/{exercise_id}.

        Проверяет:
        - Успешное обновление задания по ID
        - Соответствие статус-кода 200
        - Соответствие данных ответа запросу на обновление
        - Валидацию JSON schema ответа
        ","289","Update exercise","LMS service","Sun Jul 06 10:48:41 GMT 2025","passed","Sun Jul 06 10:48:42 GMT 2025","Update entity","Exercises","",""
"
        Тест удаления задания через DELETE-запрос к /api/v1/exercises/{exercise_id}.

        Проверяет:
        - Статус-код 200 после удаления.
        - Статус-код 404 и соответствующее сообщение об ошибке после попытки получения удаленного задания.
        - Валидацию JSON schema ответа на GET-запрос после удаления.
        ","287","Delete exercise","LMS service","Sun Jul 06 10:48:43 GMT 2025","passed","Sun Jul 06 10:48:43 GMT 2025","Delete entity","Exercises","",""
"
        Тест проверяет создание нового пользователя через эндпоинт /api/v1/users.

        Проверяет:
        - Статус-код ответа (200)
        - Корректность тела ответа
        - Валидацию JSON schema ответа
        ","544","Create user","LMS service","Sun Jul 06 10:48:47 GMT 2025","passed","Sun Jul 06 10:48:47 GMT 2025","Create entity","Users","",""
"
        Тест для проверки создания курса через API.
        
        Проверяет:
        - Успешное создание курса через POST-запрос к /api/v1/courses
        - Соответствие статус-кода 200
        - Соответствие данных ответа данным запроса
        - Валидацию JSON-схемы ответа

        :param courses_client: Клиент для работы с API курсов
        :param function_file: Фикстура файла для preview_file_id
        :param function_user: Фикстура пользователя для created_by_user_id
        ","27","Create course","LMS service","Sun Jul 06 10:48:40 GMT 2025","passed","Sun Jul 06 10:48:40 GMT 2025","Create entity","Courses","",""
"Негативный тест: получение файла с некорректным file_id.","265","Get file with incorrect file id","LMS service","Sun Jul 06 10:48:46 GMT 2025","passed","Sun Jul 06 10:48:46 GMT 2025","Validate entity","Files","",""
"Тест создания файла через API.","264","Create file","LMS service","Sun Jul 06 10:48:44 GMT 2025","passed","Sun Jul 06 10:48:44 GMT 2025","Create entity","Files","",""
"
        Тест проверяет создание нового пользователя через эндпоинт /api/v1/users.

        Проверяет:
        - Статус-код ответа (200)
        - Корректность тела ответа
        - Валидацию JSON schema ответа
        ","544","Create user","LMS service","Sun Jul 06 10:48:46 GMT 2025","passed","Sun Jul 06 10:48:47 GMT 2025","Create entity","Users","",""
"
        Тест для получения списка курсов пользователя по user_id.

        Проверяет:
        - Успешный возврат списка курсов через GET-запрос к /api/v1/courses
        - Соответствие статус-кода 200
        - Наличие ранее созданного курса в ответе
        - Валидацию JSON-схемы ответа
        ","25","Get courses","LMS service","Sun Jul 06 10:48:40 GMT 2025","passed","Sun Jul 06 10:48:40 GMT 2025","Get entities","Courses","",""
"
        Тест создания задания через POST-запрос к /api/v1/exercises.

        Проверяет:
        - Статус-код ответа 200
        - Соответствие тела ответа запросу
        - Валидацию JSON schema ответа
        ","20","Create exercise","LMS service","Sun Jul 06 10:48:41 GMT 2025","passed","Sun Jul 06 10:48:41 GMT 2025","Create entity","Exercises","",""
"Тест получения файла по ID через API.","12","Get file","LMS service","Sun Jul 06 10:48:44 GMT 2025","passed","Sun Jul 06 10:48:44 GMT 2025","Get entity","Files","",""
