"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Негативный тест: получение файла с некорректным file_id.","267","Get file with incorrect file id","LMS service","Thu Jul 31 13:56:06 GMT 2025","passed","Thu Jul 31 13:56:06 GMT 2025","Validate entity","Files","",""
"Тест удаления файла через API.","23","Delete file","LMS service","Thu Jul 31 13:56:07 GMT 2025","passed","Thu Jul 31 13:56:07 GMT 2025","Delete entity","Files","",""
"Негативный тест: создание файла с пустым именем.","264","Create file with empty filename","LMS service","Thu Jul 31 13:56:05 GMT 2025","passed","Thu Jul 31 13:56:05 GMT 2025","Validate entity","Files","",""
"
        Тест обновления задания через PATCH-запрос к /api/v1/exercises/{exercise_id}.

        Проверяет:
        - Успешное обновление задания по ID
        - Соответствие статус-кода 200
        - Соответствие данных ответа запросу на обновление
        - Валидацию JSON schema ответа
        ","291","Update exercise","LMS service","Thu Jul 31 13:56:01 GMT 2025","passed","Thu Jul 31 13:56:02 GMT 2025","Update entity","Exercises","",""
"
        Тест для проверки создания курса через API.
        
        Проверяет:
        - Успешное создание курса через POST-запрос к /api/v1/courses
        - Соответствие статус-кода 200
        - Соответствие данных ответа данным запроса
        - Валидацию JSON-схемы ответа

        :param courses_client: Клиент для работы с API курсов
        :param function_file: Фикстура файла для preview_file_id
        :param function_user: Фикстура пользователя для created_by_user_id
        ","32","Create course","LMS service","Thu Jul 31 13:56:00 GMT 2025","passed","Thu Jul 31 13:56:00 GMT 2025","Create entity","Courses","",""
"Тест получения файла по ID через API.","15","Get file","LMS service","Thu Jul 31 13:56:04 GMT 2025","passed","Thu Jul 31 13:56:04 GMT 2025","Get entity","Files","",""
"
        Тест проверяет создание нового пользователя через эндпоинт /api/v1/users.

        Проверяет:
        - Статус-код ответа (200)
        - Корректность тела ответа
        - Валидацию JSON schema ответа
        ","543","Create user","LMS service","Thu Jul 31 13:56:07 GMT 2025","passed","Thu Jul 31 13:56:07 GMT 2025","Create entity","Users","",""
"Негативный тест: создание файла с пустым значением директории.","268","Create file with empty directory","LMS service","Thu Jul 31 13:56:05 GMT 2025","passed","Thu Jul 31 13:56:05 GMT 2025","Validate entity","Files","",""
"
        Тест для получения списка курсов пользователя по user_id.

        Проверяет:
        - Успешный возврат списка курсов через GET-запрос к /api/v1/courses
        - Соответствие статус-кода 200
        - Наличие ранее созданного курса в ответе
        - Валидацию JSON-схемы ответа
        ","32","Get courses","LMS service","Thu Jul 31 13:56:00 GMT 2025","passed","Thu Jul 31 13:56:00 GMT 2025","Get entities","Courses","",""
"
        Тест проверяет создание нового пользователя через эндпоинт /api/v1/users.

        Проверяет:
        - Статус-код ответа (200)
        - Корректность тела ответа
        - Валидацию JSON schema ответа
        ","551","Create user","LMS service","Thu Jul 31 13:56:06 GMT 2025","passed","Thu Jul 31 13:56:07 GMT 2025","Create entity","Users","",""
